ID,fold_change,neglogp,padj,input,count
agilent_102395,25.918,7.518,0.009,82,33
agilent_102644,19964.361,9.056,0,0.1,31
agilent_104204,163.15,1000,0,45,114
agilent_106204,25.132,7.272,0.016,82,32
agilent_106757,6.568,7.564,0.008,804,82
agilent_107529,37.71,15.477,0,263,154
agilent_108170,16.036,10.161,0,249,62
agilent_109987,15.42,12.23,0,355,85
agilent_110216,9.471,8.844,0,510,75
agilent_112066,201.01,15.955,0,33,103
agilent_112839,17.131,9.725,0,203,54
agilent_121197,16744.303,7.76,0.005,0.1,26
agilent_122417,10.242,7.766,0.005,371,59
agilent_122613,17388.315,8.02,0.003,0.1,27
agilent_123887,22540.408,10.083,0,0.1,35
agilent_123892,18676.338,8.539,0.001,0.1,29
agilent_126053,12.6,8.122,0.002,276,54
agilent_12685,6.96,10.84,0,1425,154
agilent_127197,28.653,15.654,0,236,105
agilent_127869,5.102,6.967,0.032,1237,98
agilent_130606,219.722,15.256,0,17,58
agilent_132331,23184.42,10.339,0,0.1,36
agilent_133222,101.432,15.955,0,120,189
agilent_13426,10.21,7.045,0.027,328,52
agilent_134645,43.347,8.623,0.001,52,35
agilent_138610,15.235,12.507,0,372,88
agilent_140119,64.401,15.955,0,96,96
agilent_142054,5.936,7.33,0.014,933,86
agilent_146691,18032.326,8.28,0.002,0.1,28
agilent_148719,16744.303,7.76,0.005,0.1,26
agilent_149669,8.633,10.943,0,828,111
agilent_149779,175.64,15.955,0,33,90
agilent_149878,740.613,6.902,0.037,2,23
agilent_15071,2640.448,11.576,0,1,41
agilent_150745,2189.64,9.791,0,1,34
agilent_151936,20.097,14.068,0,282,88
agilent_151937,34.369,15.955,0,401,214
agilent_155158,23.354,7.351,0.013,91,33
agilent_160014,5.372,7.109,0.023,1115,93
agilent_16034,11.917,11.677,0,508,94
agilent_161116,322.006,7.317,0.014,5,25
agilent_16154,56.249,15.955,0,79,69
agilent_16209,10.173,11.92,0,709,112
agilent_162348,805.015,7.426,0.011,2,25
agilent_163308,25.76,14.913,0,375,150
agilent_164364,217.354,7.734,0.006,8,27
agilent_165182,788.914,13.482,0,4,49
agilent_165236,18032.326,8.28,0.002,0.1,28
agilent_168007,772.814,7.164,0.02,2,24
agilent_168576,9.255,10.249,0,675,97
agilent_168736,29.517,7.71,0.006,72,33
agilent_171770,44.634,1000,0,606,420
agilent_172801,16100.291,7.499,0.009,0.1,25
agilent_174652,268.338,7.282,0.016,6,25
agilent_175977,72.129,7.488,0.01,25,28
agilent_176428,22.815,15.256,0,446,158
agilent_177203,62.399,15.353,0,193,187
agilent_177287,124.202,7.542,0.009,14,27
agilent_178076,12.328,14.654,0,700,134
agilent_178095,37.433,1000,0,160,93
agilent_178608,373.527,8.355,0.001,5,29
agilent_179377,1610.029,7.464,0.01,1,25
agilent_179674,15.88,7.062,0.026,146,36
agilent_180309,81.338,15.051,0,308,389
agilent_185562,15456.28,7.237,0.017,0.1,24
agilent_186055,11.189,6.78,0.05,259,45
agilent_187854,11.559,7.274,0.016,273,49
agilent_188119,28.733,6.849,0.042,65,29
agilent_18816,536.676,7.389,0.012,3,25
agilent_188812,8.115,7.185,0.02,500,63
agilent_191305,10.902,12.031,0,638,108
agilent_193401,19.576,12.104,0,227,69
agilent_19497,115.141,15.051,0,33,59
agilent_197005,1738.831,7.985,0.003,1,27
agilent_198444,6.047,6.882,0.039,820,77
agilent_199004,21.7,6.844,0.043,92,31
agilent_199930,23,14.386,0,224,80
agilent_20338,18.662,9.765,0,176,51
agilent_20420,52.521,15.176,0,309,252
agilent_205647,44.767,15.256,0,246,171
agilent_206645,14.589,1000,0,1055,239
agilent_20729,5.113,7.255,0.017,1373,109
agilent_210454,43.347,8.623,0.001,52,35
agilent_21513,8.484,13.469,0,1298,171
agilent_218880,10.95,8.006,0.003,347,59
agilent_219925,14.088,8.219,0.002,224,49
agilent_220150,30.685,15.477,0,170,81
agilent_220640,10.951,8.844,0,394,67
agilent_221096,84.738,15.955,0,76,100
agilent_221984,19.485,10.981,0,195,59
agilent_222162,24.213,15.477,0,258,97
agilent_222335,111.629,7.253,0.017,15,26
agilent_223185,147.797,15.477,0,356,817
agilent_2232,25.76,11.113,0,130,52
agilent_223646,55.201,15.477,0,154,132
agilent_223692,13.811,12.155,0,415,89
agilent_223695,84.527,10.861,0,32,42
agilent_224607,13.081,6.838,0.043,192,39
agilent_224850,41.9,12.657,0,83,54
agilent_225394,22540.408,10.083,0,0.1,35
agilent_22573,14.269,6.889,0.039,167,37
agilent_225863,35.916,7.111,0.023,52,29
agilent_225964,8.382,8.421,0.001,607,79
agilent_226015,11.982,7.351,0.013,258,48
agilent_226077,7.81,7.387,0.012,569,69
agilent_226611,14.759,1000,0,912,209
agilent_227745,23.419,15.353,0,242,88
agilent_229425,13.8,8.585,0.001,252,54
agilent_229718,32.832,11.748,0,102,52
agilent_229990,84.738,6.878,0.04,19,25
agilent_230614,20.569,1000,0,861,275
agilent_231419,17.134,15,0,436,116
agilent_231437,9.181,8.24,0.002,484,69
agilent_23320,29.391,14.292,0,149,68
agilent_234840,22.368,15.256,0,429,149
agilent_235466,12.88,7,0.03,205,41
agilent_235576,11.836,14.068,0,691,127
agilent_235855,15.588,14.955,0,471,114
agilent_236420,31.839,10.082,0,89,44
agilent_236639,25.229,15.477,0,291,114
agilent_236864,81.621,15.051,0,647,820
agilent_237349,55.685,15.955,0,133,115
agilent_237615,1803.233,8.245,0.002,1,28
agilent_237918,10.508,1000,0,1428,233
agilent_23806,23.379,10.961,0,146,53
agilent_238184,14.586,14.282,0,2530,573
agilent_238345,5.932,8.787,0,1368,126
agilent_238370,58.493,15.955,0,109,99
agilent_23878,15.998,7.53,0.009,157,39
agilent_238997,35.532,11.102,0,87,48
agilent_239180,50.601,8.344,0.001,42,33
agilent_239349,11.035,8.873,0,391,67
agilent_239521,14.977,8.619,0.001,215,50
agilent_240518,25.461,10.901,0,129,51
agilent_240671,186.048,7.441,0.011,9,26
agilent_241029,7.246,10.055,0,1031,116
agilent_241343,10.9,11.312,0,579,98
agilent_241497,17.863,7.694,0.006,137,38
agilent_24163,7.008,11.129,0,1691,184
agilent_241665,126.387,1000,0,80,157
agilent_241791,23,13.264,0,196,70
