ID,fold_change,neglogp,padj,input,count
agilent_100245,34.632,7.39,0.012,90,41
agilent_100772,141.677,8.929,0,22,41
agilent_102275,62.845,11.686,0,75,62
agilent_102435,20.367,10.392,0,377,101
agilent_104197,82.83,13.981,0,67,73
agilent_104204,91.226,10.877,0,45,54
agilent_104859,74.652,15.654,0,111,109
agilent_105317,4971.825,1000,0,5,327
agilent_105718,51.985,15.256,0,136,93
agilent_107268,33.309,12.286,0,194,85
agilent_107529,287.033,15.353,0,263,993
agilent_108088,62.629,15.477,0,193,159
agilent_108474,16.326,12.668,0,759,163
agilent_108889,10.703,7.436,0.011,689,97
agilent_10960,26.265,1000,0,1288,445
agilent_110334,13.065,9.783,0,739,127
agilent_110337,24.705,15.654,0,1117,363
agilent_11048,87.322,15.955,0,74,85
agilent_110572,72.893,15.176,0,243,233
agilent_11153,55.554,7.552,0.008,52,38
agilent_11154,19.813,9.628,0,353,92
agilent_11266,32.098,1000,0,405,171
agilent_11270,53.618,15.353,0,302,213
agilent_11271,59.463,15.176,0,404,316
agilent_11272,77.248,15.654,0,186,189
agilent_11275,31.676,11.595,0,192,80
agilent_11276,38.953,10.617,0,121,62
agilent_11277,32.775,15.477,0,392,169
agilent_11278,12.117,1000,0,1443,230
agilent_112839,253.531,15.477,0,203,677
agilent_113148,61.894,15.654,0,113,92
agilent_11512,53.662,9.162,0,68,48
agilent_115219,20.006,8.268,0.002,266,70
agilent_115718,29.93,12.402,0,254,100
agilent_1169,18.725,10.028,0,406,100
agilent_117669,54.707,15.654,0,321,231
agilent_119064,32.361,10.135,0,148,63
agilent_119265,17.116,1000,0,1479,333
agilent_11947,56.256,15.654,0,800,592
agilent_11948,40.362,1000,0,1083,575
agilent_11949,55.591,15.477,0,320,234
agilent_11962,31.484,7.23,0.017,99,41
agilent_12000,1748.501,15.256,0,3,69
agilent_12001,1254.36,1000,0,6,99
agilent_12004,54.008,15.256,0,518,368
agilent_12005,87.466,15.654,0,93,107
agilent_12006,131.016,15.955,0,94,162
agilent_12008,33.456,15.353,0,484,213
agilent_12009,40.463,1000,0,744,396
agilent_12010,32.052,11.51,0,185,78
agilent_12011,176.783,15.256,0,590,1372
agilent_12012,145.45,15.955,0,196,375
agilent_12013,253.241,15.955,0,154,513
agilent_12014,26.569,15.256,0,1485,519
agilent_12015,23.552,1000,0,1091,338
agilent_12016,21.296,1000,0,2099,588
agilent_12017,22.895,10.975,0,342,103
agilent_12018,194.616,15.477,0,75,192
agilent_12019,180.251,15.955,0,221,524
agilent_12020,140.254,1000,0,374,690
agilent_12021,61.719,15.256,0,489,397
agilent_12022,15.604,7.86,0.004,380,78
agilent_12023,72.649,15.109,0,541,517
