peptide_id;protein_id
agilent_1000;agilent_296
agilent_10000;agilent_210
agilent_100000;agilent_34450
agilent_100012;agilent_52143
agilent_100014;agilent_63568
agilent_100016;agilent_34320
agilent_100021;agilent_23171
agilent_100029;agilent_59123
agilent_100032;agilent_36782
agilent_100033;agilent_15259
agilent_100034;agilent_29425
agilent_100035;agilent_63916
agilent_10005;agilent_190
agilent_100050;agilent_15089
agilent_100052;agilent_31355
agilent_100056;agilent_17308
agilent_100058;agilent_42893
agilent_100064;agilent_12403
agilent_100065;agilent_16311
agilent_100067;agilent_27972
agilent_100069;agilent_15113
agilent_10007;agilent_675
agilent_100077;agilent_88602
agilent_100093;agilent_18922
agilent_1001;agilent_239
agilent_100103;agilent_38926
agilent_100107;agilent_64555
agilent_100114;agilent_28125
agilent_100116;agilent_21687
agilent_10012;agilent_1539
agilent_100120;agilent_22474
agilent_100121;agilent_35872
agilent_100122;agilent_23351
agilent_10013;agilent_425
agilent_100131;agilent_31836
agilent_100132;agilent_14360
agilent_100134;agilent_13271
agilent_100136;agilent_23977
agilent_100138;agilent_33561
agilent_10014;agilent_929
agilent_100147;agilent_28016
agilent_100149;agilent_19412
agilent_100154;agilent_28321
agilent_100156;agilent_36825
agilent_100160;agilent_79476
agilent_100169;agilent_17256
agilent_100172;agilent_44167
agilent_100173;agilent_20939
agilent_100174;agilent_13395
agilent_100178;agilent_100178
agilent_100186;agilent_26176
agilent_100189;agilent_47080
agilent_100191;agilent_33405
agilent_100192;agilent_39492
agilent_100193;agilent_85768
agilent_1002;agilent_1002
agilent_10020;agilent_193
agilent_100202;agilent_18065
agilent_100207;agilent_27845
agilent_100210;agilent_30876
agilent_100212;agilent_18778
agilent_100213;agilent_100213
agilent_100221;agilent_100221
agilent_100229;agilent_13700
agilent_10023;agilent_315
agilent_100232;agilent_20973
agilent_10024;agilent_409
agilent_100249;agilent_18237
agilent_10025;agilent_114
agilent_100251;agilent_75550
agilent_100253;agilent_29375
agilent_100257;agilent_13714
agilent_100262;agilent_22387
agilent_100263;agilent_20022
agilent_100264;agilent_16444
agilent_100266;agilent_12950
agilent_100280;agilent_98114
agilent_100286;agilent_18438
agilent_100298;agilent_27934
agilent_1003;agilent_142
agilent_100308;agilent_20506
agilent_100312;agilent_38173
agilent_100313;agilent_100313
agilent_100322;agilent_26726
agilent_100324;agilent_32030
agilent_100325;agilent_12346
agilent_100333;agilent_31293
agilent_10034;agilent_1189
agilent_100342;agilent_15725
agilent_100344;agilent_30421
agilent_100350;agilent_37229
agilent_10036;agilent_1122
agilent_100363;agilent_93489
agilent_100364;agilent_65992
agilent_10038;agilent_429
agilent_100390;agilent_14816
agilent_100394;agilent_25533
agilent_100395;agilent_42928
agilent_100416;agilent_12084
agilent_10042;agilent_66
agilent_100422;agilent_16221
agilent_100423;agilent_30570
agilent_100428;agilent_15177
agilent_100435;agilent_19094
agilent_10044;agilent_46
agilent_10045;agilent_561
agilent_100454;agilent_16223
agilent_10046;agilent_117
agilent_100468;agilent_100468
agilent_100472;agilent_16953
agilent_100474;agilent_23093
agilent_100475;agilent_30519
agilent_100480;agilent_79220
agilent_100485;agilent_17243
agilent_100486;agilent_49984
agilent_100494;agilent_71841
agilent_100499;agilent_51274
agilent_1005;agilent_675
agilent_100500;agilent_30575
agilent_100501;agilent_76997
agilent_100505;agilent_15410
agilent_100509;agilent_17921
agilent_100510;agilent_100510
agilent_100513;agilent_21424
agilent_100515;agilent_90713
agilent_100517;agilent_31873
agilent_100522;agilent_25335
agilent_100530;agilent_23818
agilent_100531;agilent_49258
agilent_100554;agilent_16503
agilent_100557;agilent_19795
agilent_100558;agilent_20710
agilent_100561;agilent_19768
agilent_100564;agilent_25838
agilent_100567;agilent_28613
agilent_100569;agilent_32136
agilent_10057;agilent_324
agilent_100576;agilent_20764
agilent_100578;agilent_29673
agilent_100583;agilent_24161
agilent_100584;agilent_18593
agilent_10059;agilent_160
agilent_100592;agilent_13933
agilent_100601;agilent_13296
agilent_100605;agilent_30248
agilent_100606;agilent_70296
agilent_100610;agilent_23858
agilent_100621;agilent_36106
agilent_100622;agilent_22408
agilent_100629;agilent_29534
agilent_10063;agilent_1562
agilent_100630;agilent_36443
agilent_100636;agilent_13464
agilent_100639;agilent_12542
agilent_10064;agilent_113
agilent_100641;agilent_60479
agilent_10065;agilent_567
agilent_100653;agilent_96838
agilent_10066;agilent_304
